线路号: 1101
车辆编号	驾驶员编号
9127.0		1319
9128.0		1600
9129.0		1317
9130.0		41
9131.0		1873
9132.0		1599
9136.0		1609
9137.0		2293
9138.0		1593
9140.0		143
9141.0		147
9142.0		2150
9143.0		1130
9144.0		167
9145.0		171
9146.0		1997
9147.0		1996
9148.0		1659
9149.0		1127
9150.0		1316
9151.0		1661
9152.0		108
9153.0		1809
9154.0		192
9155.0		168
9156.0		131
9158.0		185
9160.0		2240
9161.0		1866
9163.0		182
9166.0		199
9167.0		1136
9168.0		202
9169.0		206
9171.0		1122
9172.0		208
9173.0		1594
9174.0		1827
9175.0		184
9176.0		146
9177.0		149
9179.0		2149
9180.0		2287
9181.0		100
9182.0		1999
9184.0		102
9185.0		1622
9188.0		127
9190.0		2292
9191.0		2532
9192.0		27
9193.0		2374
9194.0		2295
9195.0		1995
9196.0		1608
9198.0		1601
9200.0		2534
9204.0		19
9205.0		2362
9206.0		2359
9207.0		1885
